Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
30/09/2023,Wolfsburg,Ein Frankfurt,2,0,H,19,7,7,3,2.05,3.5,3.5,2023-24,Bundesliga,D1
30/09/2023,RB Leipzig,Bayern Munich,2,2,D,7,11,2,5,3.4,4.2,1.91,2023-24,Bundesliga,D1
01/10/2023,Darmstadt,Werder Bremen,4,2,H,14,10,5,7,2.8,3.8,2.3,2023-24,Bundesliga,D1
01/10/2023,Freiburg,Augsburg,2,0,H,7,13,3,4,1.73,4.0,4.75,2023-24,Bundesliga,D1
06/10/2023,M'gladbach,Mainz,2,2,D,20,13,9,7,2.05,3.75,3.4,2023-24,Bundesliga,D1
07/10/2023,Augsburg,Darmstadt,1,2,A,17,17,3,5,1.85,3.75,4.0,2023-24,Bundesliga,D1
07/10/2023,Dortmund,Union Berlin,4,2,H,12,12,7,6,1.57,4.33,5.25,2023-24,Bundesliga,D1
07/10/2023,RB Leipzig,Bochum,0,0,D,18,9,5,2,1.25,6.0,11.0,2023-24,Bundesliga,D1
07/10/2023,Stuttgart,Wolfsburg,3,1,H,13,12,7,5,2.0,3.5,3.75,2023-24,Bundesliga,D1
07/10/2023,Werder Bremen,Hoffenheim,2,3,A,13,11,3,4,2.75,3.75,2.4,2023-24,Bundesliga,D1
08/10/2023,Leverkusen,FC Koln,3,0,H,21,7,10,3,1.33,5.5,8.0,2023-24,Bundesliga,D1
08/10/2023,Bayern Munich,Freiburg,3,0,H,21,2,5,0,1.14,8.5,17.0,2023-24,Bundesliga,D1
08/10/2023,Ein Frankfurt,Heidenheim,2,0,H,12,7,6,2,1.7,4.0,4.75,2023-24,Bundesliga,D1
20/10/2023,Dortmund,Werder Bremen,1,0,H,22,6,5,1,1.29,6.5,8.0,2023-24,Bundesliga,D1
21/10/2023,Darmstadt,RB Leipzig,1,3,A,16,10,3,7,6.5,4.75,1.44,2023-24,Bundesliga,D1
21/10/2023,Freiburg,Bochum,2,1,H,15,13,5,5,1.7,3.75,5.0,2023-24,Bundesliga,D1
21/10/2023,Hoffenheim,Ein Frankfurt,1,3,A,14,13,5,5,2.1,3.5,3.4,2023-24,Bundesliga,D1
21/10/2023,Union Berlin,Stuttgart,0,3,A,10,10,2,5,2.5,3.5,2.7,2023-24,Bundesliga,D1
21/10/2023,Wolfsburg,Leverkusen,1,2,A,18,13,7,6,4.33,4.0,1.75,2023-24,Bundesliga,D1
21/10/2023,Mainz,Bayern Munich,1,3,A,14,12,3,5,9.0,6.0,1.29,2023-24,Bundesliga,D1
22/10/2023,FC Koln,M'gladbach,3,1,H,21,5,8,2,2.4,3.6,2.88,2023-24,Bundesliga,D1
22/10/2023,Heidenheim,Augsburg,2,5,A,16,9,5,6,2.45,3.5,2.8,2023-24,Bundesliga,D1
27/10/2023,Bochum,Mainz,2,2,D,10,10,4,4,2.7,3.3,2.55,2023-24,Bundesliga,D1
28/10/2023,Augsburg,Wolfsburg,3,2,H,9,13,5,6,2.9,3.5,2.38,2023-24,Bundesliga,D1
28/10/2023,Bayern Munich,Darmstadt,8,0,H,28,10,16,4,1.06,12.0,26.0,2023-24,Bundesliga,D1
28/10/2023,M'gladbach,Heidenheim,2,1,H,11,8,6,3,1.8,4.0,4.0,2023-24,Bundesliga,D1
28/10/2023,Stuttgart,Hoffenheim,2,3,A,23,7,10,5,1.85,4.0,3.8,2023-24,Bundesliga,D1
28/10/2023,Werder Bremen,Union Berlin,2,0,H,9,7,3,2,2.7,3.3,2.6,2023-24,Bundesliga,D1
28/10/2023,RB Leipzig,FC Koln,6,0,H,24,6,13,1,1.44,4.75,7.0,2023-24,Bundesliga,D1
29/10/2023,Ein Frankfurt,Dortmund,3,3,D,11,14,7,4,3.4,3.4,2.15,2023-24,Bundesliga,D1
29/10/2023,Leverkusen,Freiburg,2,1,H,19,10,4,4,1.29,5.5,11.0,2023-24,Bundesliga,D1
03/11/2023,Darmstadt,Bochum,1,2,A,15,9,4,4,2.3,3.75,2.88,2023-24,Bundesliga,D1
04/11/2023,FC Koln,Augsburg,1,1,D,28,18,12,3,2.3,3.6,2.9,2023-24,Bundesliga,D1
04/11/2023,Freiburg,M'gladbach,3,3,D,15,10,8,5,2.1,3.8,3.2,2023-24,Bundesliga,D1
04/11/2023,Hoffenheim,Leverkusen,2,3,A,12,10,7,4,5.0,4.5,1.57,2023-24,Bundesliga,D1
04/11/2023,Mainz,RB Leipzig,2,0,H,10,10,3,2,5.75,4.2,1.6,2023-24,Bundesliga,D1
04/11/2023,Union Berlin,Ein Frankfurt,0,3,A,10,4,3,3,2.55,3.1,2.9,2023-24,Bundesliga,D1
04/11/2023,Dortmund,Bayern Munich,0,4,A,15,14,1,8,4.0,4.33,1.75,2023-24,Bundesliga,D1
05/11/2023,Wolfsburg,Werder Bremen,2,2,D,15,13,5,4,1.7,4.33,4.33,2023-24,Bundesliga,D1
05/11/2023,Heidenheim,Stuttgart,2,0,H,19,14,2,2,4.5,4.33,1.65,2023-24,Bundesliga,D1
10/11/2023,M'gladbach,Wolfsburg,4,0,H,16,12,8,4,2.3,3.8,2.7,2023-24,Bundesliga,D1
11/11/2023,Augsburg,Hoffenheim,1,1,D,11,12,6,6,2.63,3.6,2.55,2023-24,Bundesliga,D1
11/11/2023,Bayern Munich,Heidenheim,4,2,H,18,7,8,2,1.06,17.0,21.0,2023-24,Bundesliga,D1
11/11/2023,Darmstadt,Mainz,0,0,D,9,9,3,0,3.1,3.5,2.25,2023-24,Bundesliga,D1
11/11/2023,Stuttgart,Dortmund,2,1,H,22,5,10,1,2.55,3.75,2.55,2023-24,Bundesliga,D1
11/11/2023,Bochum,FC Koln,1,1,D,25,10,9,6,2.45,3.4,2.88,2023-24,Bundesliga,D1
12/11/2023,Leverkusen,Union Berlin,4,0,H,19,2,10,2,1.29,6.0,9.0,2023-24,Bundesliga,D1
12/11/2023,Werder Bremen,Ein Frankfurt,2,2,D,14,14,5,3,3.1,3.4,2.3,2023-24,Bundesliga,D1
12/11/2023,RB Leipzig,Freiburg,3,1,H,15,9,6,3,1.44,5.0,6.5,2023-24,Bundesliga,D1
24/11/2023,FC Koln,Bayern Munich,0,1,A,6,19,2,5,9.0,7.0,1.25,2023-24,Bundesliga,D1
25/11/2023,Dortmund,M'gladbach,4,2,H,20,10,13,3,1.45,5.5,5.25,2023-24,Bundesliga,D1
25/11/2023,Freiburg,Darmstadt,1,1,D,16,7,3,1,1.55,4.33,5.75,2023-24,Bundesliga,D1
25/11/2023,Union Berlin,Augsburg,1,1,D,16,11,6,2,1.95,3.6,3.8,2023-24,Bundesliga,D1
25/11/2023,Werder Bremen,Leverkusen,0,3,A,2,13,1,4,6.5,5.0,1.45,2023-24,Bundesliga,D1
25/11/2023,Wolfsburg,RB Leipzig,2,1,H,10,26,4,10,3.6,4.0,1.91,2023-24,Bundesliga,D1
25/11/2023,Ein Frankfurt,Stuttgart,1,2,A,14,11,1,5,2.6,3.6,2.6,2023-24,Bundesliga,D1
26/11/2023,Heidenheim,Bochum,0,0,D,9,9,3,2,2.2,3.6,3.1,2023-24,Bundesliga,D1
26/11/2023,Hoffenheim,Mainz,1,1,D,15,15,6,6,1.85,3.8,3.8,2023-24,Bundesliga,D1
01/12/2023,Darmstadt,FC Koln,0,1,A,11,11,1,6,2.63,3.4,2.6,2023-24,Bundesliga,D1
02/12/2023,Bochum,Wolfsburg,3,1,H,19,15,9,6,2.63,3.6,2.55,2023-24,Bundesliga,D1
02/12/2023,M'gladbach,Hoffenheim,2,1,H,9,17,3,5,2.2,4.0,2.88,2023-24,Bundesliga,D1
02/12/2023,RB Leipzig,Heidenheim,2,1,H,23,7,8,1,1.25,7.0,9.0,2023-24,Bundesliga,D1
02/12/2023,Stuttgart,Werder Bremen,2,0,H,17,11,6,3,1.4,5.25,6.5,2023-24,Bundesliga,D1
03/12/2023,Mainz,Freiburg,0,1,A,19,13,6,5,2.3,3.4,3.1,2023-24,Bundesliga,D1
03/12/2023,Leverkusen,Dortmund,1,1,D,22,6,6,2,1.62,4.5,4.75,2023-24,Bundesliga,D1
03/12/2023,Augsburg,Ein Frankfurt,2,1,H,9,12,4,6,2.63,3.6,2.55,2023-24,Bundesliga,D1
08/12/2023,Hoffenheim,Bochum,3,1,H,18,22,7,5,1.67,4.2,4.75,2023-24,Bundesliga,D1
09/12/2023,Ein Frankfurt,Bayern Munich,5,1,H,14,17,6,6,9.0,5.5,1.3,2023-24,Bundesliga,D1
09/12/2023,Heidenheim,Darmstadt,3,2,H,16,20,7,7,2.05,3.5,3.5,2023-24,Bundesliga,D1
09/12/2023,Union Berlin,M'gladbach,3,1,H,16,13,6,4,2.1,3.5,3.4,2023-24,Bundesliga,D1
09/12/2023,Werder Bremen,Augsburg,2,0,H,12,11,5,1,2.38,3.6,2.8,2023-24,Bundesliga,D1
09/12/2023,Wolfsburg,Freiburg,0,1,A,10,4,3,1,2.25,3.5,3.1,2023-24,Bundesliga,D1
09/12/2023,Dortmund,RB Leipzig,2,3,A,18,24,6,8,2.6,3.6,2.55,2023-24,Bundesliga,D1
10/12/2023,Stuttgart,Leverkusen,1,1,D,22,20,12,6,2.9,3.6,2.3,2023-24,Bundesliga,D1
10/12/2023,FC Koln,Mainz,0,0,D,7,13,3,5,2.3,3.5,3.0,2023-24,Bundesliga,D1
15/12/2023,M'gladbach,Werder Bremen,2,2,D,15,10,4,5,2.0,4.0,3.3,2023-24,Bundesliga,D1
16/12/2023,Augsburg,Dortmund,1,1,D,20,24,4,6,3.5,4.2,1.91,2023-24,Bundesliga,D1
16/12/2023,Bochum,Union Berlin,3,0,H,21,10,7,2,2.7,3.4,2.6,2023-24,Bundesliga,D1
16/12/2023,Darmstadt,Wolfsburg,0,1,A,14,11,4,3,3.1,3.6,2.2,2023-24,Bundesliga,D1
16/12/2023,Mainz,Heidenheim,0,1,A,16,5,4,2,1.67,4.2,4.75,2023-24,Bundesliga,D1
16/12/2023,RB Leipzig,Hoffenheim,3,1,H,23,10,11,4,1.45,5.0,6.0,2023-24,Bundesliga,D1
17/12/2023,Freiburg,FC Koln,2,0,H,23,7,7,1,1.8,3.8,4.2,2023-24,Bundesliga,D1
17/12/2023,Leverkusen,Ein Frankfurt,3,0,H,14,4,6,2,1.36,5.0,8.5,2023-24,Bundesliga,D1
